Município,Ano,RMT,RMM,RMF,Coeficiente de Gini,Renda Média da População (R$) ,Renda Média dos Declarantes (R$),Renda Média da População (R$ mil),Renda Média dos Declarantes (R$ mil),Rendimento médio da população feminina/masculina (%)
Mato Rico,2021,2179.75,2148.31,2212.01,0.46,34234,527662,34.23,527.66,102.97
Mauá da Serra,2021,2214.5,2290.01,2094.65,0.49,37463,556541,37.46,556.54,91.47
Medianeira,2021,2736.95,2988.07,2425.57,0.49,163379,817142,163.38,817.14,81.18
Mercedes,2021,2602.73,2805.34,2380.47,0.42,91821,670270,91.82,670.27,84.85
Mirador,2021,2302.88,2563.52,1982.64,0.42,39626,550745,39.63,550.75,77.34
Miraselva,2021,2700.67,2602.73,2769.31,0.39,114678,645648,114.68,645.65,106.4
Missal,2021,2689.52,2724.84,2650.92,0.47,131101,730126,131.1,730.13,97.29
Moreira Sales,2021,2356.45,2518.24,2171.24,0.45,52167,629448,52.17,629.45,86.22
Morretes,2021,2098.62,2191.79,2013.7,0.55,80898,507419,80.9,507.42,91.87
Munhoz de Melo,2021,2185.57,2146.16,2224.11,0.39,52755,570062,52.76,570.06,103.63
Nossa Senhora das Graças,2021,2358.13,2470.61,2278.16,0.33,87010,604393,87.01,604.39,92.21
Nova Aliança do Ivaí,2021,2262.44,2234.54,2293.57,0.34,59092,572826,59.09,572.83,102.64
Nova América da Colina,2021,2711.23,2732.47,2677.25,0.36,44223,530981,44.22,530.98,97.98
Nova Aurora,2021,2052.48,2233.74,1839.3,0.57,157501,866972,157.5,866.97,82.34
Nova Cantu,2021,2290.18,2446.52,2085.05,0.48,67380,495658,67.38,495.66,85.23
Nova Esperança,2021,2400.03,2371.22,2437.2,0.47,55968,678360,55.97,678.36,102.78
Nova Esperança do Sudoeste,2021,2202.16,2439.6,1960.53,0.5,85536,736508,85.54,736.51,80.36
Nova Fátima,2021,2253.96,2218.27,2303.62,0.45,64020,628308,64.02,628.31,103.85
Nova Laranjeiras,2021,2527.36,2428.08,2659.99,0.57,32363,610500,32.36,610.5,109.55
Nova Londrina,2021,2397.84,2523.83,2175.61,0.5,100100,784168,100.1,784.17,86.2
Nova Olímpia,2021,2097.46,1985.09,2188.88,0.4,71289,640941,71.29,640.94,110.27
Nova Prata do Iguaçu,2021,2070.79,2088.75,2051.19,0.46,58239,697012,58.24,697.01,98.2
Nova Santa Bárbara,2021,2132.55,2124.5,2142.26,0.51,62334,601808,62.33,601.81,100.84
Nova Santa Rosa,2021,2572.98,2855.58,2230.86,0.41,129171,796809,129.17,796.81,78.12
Nova Tebas,2021,1982.39,2053.28,1922.67,0.5,45651,599294,45.65,599.29,93.64
Novo Itacolomi,2021,2325.58,2268.4,2385.68,0.38,57383,592612,57.38,592.61,105.17
Ortigueira,2021,3446.41,3690.21,2693.24,0.51,50620,644412,50.62,644.41,72.98
Ourizona,2021,2493.64,2338.55,2635.81,0.44,106340,798714,106.34,798.71,112.71
Ouro Verde do Oeste,2021,2417.74,2491.58,2303.08,0.42,79477,581672,79.48,581.67,92.43
Paiçandu,2021,2192.14,2405.49,2000.93,0.37,59586,497221,59.59,497.22,83.18
Palmas,2021,2371.41,2518.61,2134.4,0.55,189768,1843016,189.77,1843.02,84.75
Palmeira,2021,2555.81,2678.26,2402.3,0.59,102668,694273,102.67,694.27,89.7
Palmital,2021,2216.97,2219.26,2214.35,0.52,46586,510355,46.59,510.36,99.78
Palotina,2021,2613.63,2900.55,2267.18,0.48,220679,1036623,220.68,1036.62,78.16
Paraíso do Norte,2021,2474.12,2791.94,1980.96,0.48,103271,655574,103.27,655.57,70.95
Paranacity,2021,2611.82,2555.03,2738.94,0.4,52144,565377,52.14,565.38,107.2
Paranaguá,2021,3170.83,3335.23,2864.45,0.52,111558,651646,111.56,651.65,85.88
Paranapoema,2021,1967.39,2172.23,1493.27,0.43,37664,573089,37.66,573.09,68.74
Paranavaí,2021,2639.86,2528.96,2772.13,0.48,135193,861825,135.19,861.83,109.62
Pato Bragado,2021,2419.58,2595.41,2236.55,0.43,86147,614382,86.15,614.38,86.17
Pato Branco,2021,3018.32,3259.32,2739.65,0.52,214463,929982,214.46,929.98,84.06
Paula Freitas,2021,2300.09,2289.66,2317.4,0.61,40847,577331,40.85,577.33,101.21
Paulo Frontin,2021,2309.66,2327.55,2291.47,0.53,39684,548956,39.68,548.96,98.45
Peabiru,2021,2465.67,2483.37,2441.42,0.55,84958,650281,84.96,650.28,98.31
Perobal,2021,2451.7,2463.0,2439.29,0.41,56828,546970,56.83,546.97,99.04
Pérola,2021,2050.52,2068.19,2034.11,0.37,62657,626368,62.66,626.37,98.35
Pérola d'Oeste,2021,2028.28,2224.84,1734.99,0.44,64845,677223,64.85,677.22,77.98
Piên,2021,2978.77,3271.62,2586.8,0.43,52469,546854,52.47,546.85,79.07
Pinhais,2021,2817.43,3005.79,2536.22,0.51,155651,766174,155.65,766.17,84.38
Pinhal de São Bento,2021,2319.85,2070.65,2521.94,0.37,23272,517852,23.27,517.85,121.79
Pinhalão,2021,2090.6,2037.86,2144.87,0.49,53764,674613,53.76,674.61,105.25
Pinhão,2021,2368.58,2652.61,1992.17,0.54,44815,605444,44.82,605.44,75.1
Piraí do Sul,2021,2772.77,2770.32,2777.36,0.56,73468,625674,73.47,625.67,100.25
Piraquara,2021,2675.68,2641.34,2703.7,0.43,58505,509644,58.51,509.64,102.36
Pitanga,2021,2533.12,2361.79,2834.27,0.53,88468,742656,88.47,742.66,120.01
Pitangueiras,2021,2467.01,2547.15,2399.18,0.33,52570,522815,52.57,522.82,94.19
Planaltina do Paraná,2021,2113.77,2062.95,2201.79,0.43,73918,629036,73.92,629.04,106.73
Planalto,2021,2359.96,2499.34,2198.69,0.47,57572,614175,57.57,614.18,87.97
Ponta Grossa,2021,2928.53,3106.83,2674.74,0.54,150826,775590,150.83,775.59,86.09
Pontal do Paraná,2021,2361.25,2311.76,2406.76,0.51,85547,545587,85.55,545.59,104.11
